111647995;19;17
112613540;16;2
112613621;10;1
420776943;16;12
429998766;11;10
430267080;9;1
444026518;16;16
444058674;14;12
444058716;10;2
444060328;16;4
445028149;18;13
738940471;17;0
1389528042;12;5
1647909993;11;5
1654252791;8;4
1654252878;17;17
1731170947;17;8
1731171191;17;17
1731171233;6;2
1731171384;13;13
2102030065;15;12
2156098702;11;1
2358824040;20;9
2880479543;20;18
3139458026;10;8
3605024690;14;7
3714381771;9;7
4081008328;19;3
4162652382;7;5
4378185791;18;7
4412388687;17;7
4412468340;11;0
4415010763;6;3
4474021945;15;2
4493046023;15;2
4493046049;15;4
4493046051;20;1
4494940754;15;14
4494941531;5;3
4495896948;8;0
4520426816;9;0
4541171614;13;10
4541181082;7;7
4677584397;9;0
4737169857;17;15
4760823285;14;14
4760823289;15;15
4760823294;5;4
5200696315;6;4
5223670828;19;12
