1;41.14996;-8.614044;-0.1503434;0.7182022;95;false
2;41.14993;-8.614813;-0.1503568;0.7182017;94;false
3;41.15299;-8.612018;-0.1503081;0.7182552;113;false
4;41.1536;-8.611996;-0.1503077;0.7182658;113;false
5;41.14837;-8.61437;-0.1503491;0.7181746;95;false
6;41.14795;-8.612149;-0.1503104;0.7181672;89;false
7;41.14788;-8.611281;-0.1502952;0.718166;73;false
8;41.14784;-8.610926;-0.150289;0.7181653;73;false
9;41.1488;-8.612135;-0.1503101;0.718182;89;false
10;41.14717;-8.612186;-0.150311;0.7181537;73;false
